"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","EVAP","MNPN","MXPN","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDMV","WESD","WESF"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-02-24","4.1","3.9","15.0","0.0","0.0","0.0",,"10.6","1.1","35.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-02-25","1.8","3.3","15.0","0.0","0.0","0.0",,"14.4","2.2","45.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-02-26","1.5","4.4","17.2","0.0","0.0","0.0",,"17.8","-0.6","47.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-02-27","3.8","4.4","17.2","0.0","0.0","0.0",,"18.3","3.9","43.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-02-28","3.0","5.0","17.8","0.0","0.0","0.0",,"19.4","6.1","53.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-03-01","3.0","6.7","20.0","0.0","0.0","0.0",,"21.1","7.2","64.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-03-02","3.8","8.9","21.7","0.0","0.0","0.0",,"22.8","8.3","40.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-03-03","2.8","9.4","21.7","0.8","0.0","0.0",,"23.9","7.8","34.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-03-04","2.0","4.4","18.9","0.0","0.0","0.0",,"18.3","6.1","51.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-03-05","2.0","7.8","20.6","0.0","0.0","0.0",,"19.4","6.7","39.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-03-06","2.5","8.9","20.6","5.8","0.0","0.0",,"18.3","6.7","85.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-03-07","2.8","7.8","13.9","1.0","0.0","0.0",,"11.7","5.6","37.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-03-08","4.6","5.6","12.8","4.6","0.0","0.0",,"12.2","3.3","45.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-03-09","3.6","5.6","16.7","0.0","0.0","0.0",,"15.6","5.0","53.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-03-10","2.8","6.7","19.4","0.0","0.0","0.0",,"16.7","2.2","47.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-03-11","2.8","6.1","18.9","0.0","0.0","0.0",,"17.8","3.3","58.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-03-12","3.0","7.8","21.7","0.0","0.0","0.0",,"21.1","5.0","58.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-03-13","3.6","7.8","24.4","0.0","0.0","0.0",,"21.7","10.0","47.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-03-14","4.3","7.8","25.6","0.0","0.0","0.0",,"26.7","11.1","66.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-03-15","3.3","12.8","25.0","0.0","0.0","0.0",,"27.2","10.0","37.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-03-16","3.6","11.1","22.8","0.0","0.0","0.0",,"23.9","7.8","51.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-03-17","5.1","10.0","23.9","0.0","0.0","0.0",,"25.0","7.8","51.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-03-18","3.3","7.8","23.3","0.0","0.0","0.0",,"21.1","6.1","43.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-03-19","3.6","9.4","22.2","0.0","0.0","0.0",,"21.7","7.2","40.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-03-20","2.8","11.7","22.8","6.4","0.0","0.0",,"22.2","10.0","50.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-03-21","2.5","12.8","20.0","6.4","0.0","0.0",,"20.0","9.4","39.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-03-22","3.8","8.3","23.9","0.0","0.0","0.0",,"17.8","4.4","51.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-03-23","3.8","6.7","23.9","0.0","0.0","0.0",,"15.6","4.4","55.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-03-24","4.3","6.7","21.7","0.0","0.0","0.0",,"18.9","3.9","61.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-03-25","4.6","8.3","23.9","0.0","0.0","0.0",,"22.2","5.0","68.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-03-26","3.8","11.1","22.8","0.0","0.0","0.0",,"22.2","8.9","42.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-03-27","3.3","10.6","22.8","0.0","0.0","0.0",,"22.2","8.3","39.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-03-28","3.0","10.6","23.9","0.3","0.0","0.0",,"22.2","8.9","48.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-03-29","3.8","11.7","25.0","0.0","0.0","0.0",,"22.8","11.1","64.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-03-30","3.6","11.7","26.7","0.0","0.0","0.0",,"26.1","12.2","61.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-03-31","8.6","11.7","26.7","34.3","0.0","0.0",,"25.6","10.0","60.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-04-01","3.0","12.2","22.8","7.1","0.0","0.0",,"20.6","8.9","47.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-04-02","2.3","10.0","24.4","0.0","0.0","0.0",,"20.6","6.7","45.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-04-03","4.3","10.0","24.4","0.0","0.0","0.0",,"21.1","9.4","56.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-04-04","2.5","11.7","27.2","2.5","0.0","0.0",,"24.4","11.1","48.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-04-05","2.0","11.7","27.2","5.1","0.0","0.0",,"19.4","11.1","55.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-04-06","3.6","12.8","25.0","0.0","0.0","0.0",,"19.4","9.4","42.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-04-07","4.6","12.8","25.0","0.0","0.0","0.0",,"20.6","8.9","39.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-04-08","1.5","10.6","26.1","18.5","0.0","0.0",,"21.1","6.7","64.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-04-09","3.0","7.2","21.7","1.0","0.0","0.0",,"18.9","5.0","127.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-04-10","7.4","7.8","22.8","0.0","0.0","0.0",,"21.1","8.3","100.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-04-11","5.8","9.4","27.2","0.0","0.0","0.0",,"25.6","10.0","50.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-04-12","5.1","12.8","28.3","0.0","0.0","0.0",,"23.9","10.0","56.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-04-13","4.6","11.1","28.9","0.0","0.0","0.0",,"26.1","11.7","53.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-04-14","7.6","12.8","27.8","0.0",,,,"25.0","8.3","50.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-04-15","9.4","12.8","27.2","0.0","0.0","0.0",,"21.7","8.9","61.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-04-16","3.0","8.3","23.3","0.0","0.0","0.0",,"16.7","3.9","61.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-04-17","3.8","6.1","22.8","0.0","0.0","0.0",,"18.3","3.3","68.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-04-18","5.8",,,"0.0","0.0","0.0",,"19.4","5.6",,,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-04-19","5.8","10.0","25.6","0.0","0.0","0.0",,"22.8","8.9","0.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-04-20","9.9",,,"0.0","0.0","0.0",,"27.2","10.6","45.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-04-21","4.1","11.1","30.0","0.0","0.0","0.0",,"28.3","12.8","66.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-04-22","8.4","11.1","30.0","0.0","0.0","0.0",,"28.9","12.2","66.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-04-23","7.4","13.9","31.1","0.0","0.0","0.0",,"29.4","13.9","64.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-04-24","10.4","13.9","30.0","0.0","0.0","0.0",,"28.9","11.1","56.0",,
