"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","EVAP","MNPN","MXPN","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT05","WT07","WT08","WT11","WT13","WT16"
"USC00048560","STOCKTON FIRE STATION 4, CA US","37.9994","-121.3177","3.7","2014-04-30",,,,,"0.00",,,,"88","45",,,,,,,,,,,,,,
"USC00048560","STOCKTON FIRE STATION 4, CA US","37.9994","-121.3177","3.7","2014-05-01",,,,,"0.00",,,,"95","59",,,,,,,,,,,,,,
"USC00048560","STOCKTON FIRE STATION 4, CA US","37.9994","-121.3177","3.7","2014-05-13",,,,,"0.00",,,,"91","50",,,,,,,,,,,,,,
"USC00048560","STOCKTON FIRE STATION 4, CA US","37.9994","-121.3177","3.7","2014-05-24",,,,,"0.00",,,,"100","51",,,,,,,,,,,,,,
"USC00048560","STOCKTON FIRE STATION 4, CA US","37.9994","-121.3177","3.7","2014-05-30",,,,,"0.00",,,,"98","53",,,,,,,,,,,,,,
"USW00023237","STOCKTON AIRPORT, CA US","37.8891","-121.2258","7.9","2013-01-01","3.80",,,,"0.00",,,,"53","30","   80","  280",,"8.9","17.9","    1",,,,,,,"    1",
"USW00023237","STOCKTON AIRPORT, CA US","37.8891","-121.2258","7.9","2013-01-02","1.79",,,,"0.00",,,,"54","28","  320","  330",,"6.9","21.0","    1",,,,,,,"    1",
"USW00023237","STOCKTON AIRPORT, CA US","37.8891","-121.2258","7.9","2013-01-03","2.91",,,,"0.00",,,,"54","27","  310","  270",,"8.1","15.0",,,,,,"    1",,"    1",
"USW00023237","STOCKTON AIRPORT, CA US","37.8891","-121.2258","7.9","2013-01-04","0.89",,,,"0.00",,,,"56","28","   90","   50",,"6.0","14.1",,,,,,"    1",,"    1","    1"
"USW00023237","STOCKTON AIRPORT, CA US","37.8891","-121.2258","7.9","2013-01-05","2.91",,,,"0.73",,,,"50","32","  270","  330",,"10.1","17.0",,,,,,"    1",,"    1","    1"
"USW00023237","STOCKTON AIRPORT, CA US","37.8891","-121.2258","7.9","2013-01-06","4.03",,,,"0.45",,,,"50","35","  330","  260",,"10.1","28.0",,,,,,,,"    1","    1"
"USW00023237","STOCKTON AIRPORT, CA US","37.8891","-121.2258","7.9","2013-01-07","3.58",,,,"0.00",,,,"51","36","  310","  310",,"14.1","17.0",,,,,,,,"    1",
"USW00023237","STOCKTON AIRPORT, CA US","37.8891","-121.2258","7.9","2013-01-08","2.24",,,,"0.00",,,,"56","33","   90",,,"6.9",,,,,,,"    1",,"    1",
"USW00023237","STOCKTON AIRPORT, CA US","37.8891","-121.2258","7.9","2013-01-09","6.26",,,,"0.00",,,,"50","36","  280","  280",,"25.1","32.0",,,,,,"    1",,"    1","    1"
"USW00023237","STOCKTON AIRPORT, CA US","37.8891","-121.2258","7.9","2013-01-10","7.83",,,,"0.00",,,,"51","31","  310","  320",,"19.9","23.9",,,,,,,,,
"USW00023237","STOCKTON AIRPORT, CA US","37.8891","-121.2258","7.9","2013-01-11","3.80",,,,"0.00",,,,"50","29","  280",,,"10.1",,,,,,,,,,
"USW00023237","STOCKTON AIRPORT, CA US","37.8891","-121.2258","7.9","2013-01-12","3.58",,,,"0.00",,,,"48","27","  290",,,"10.1",,,,,,,,,,
"USW00023237","STOCKTON AIRPORT, CA US","37.8891","-121.2258","7.9","2013-01-13","6.49",,,,"0.00",,,,"45","24","  320","  320",,"15.0","19.9",,,,,,,,,
"USW00023237","STOCKTON AIRPORT, CA US","37.8891","-121.2258","7.9","2013-01-14","2.91",,,,"0.00",,,,"48","27","  330","  320",,"17.0","19.9",,,,,,,,,
"USW00023237","STOCKTON AIRPORT, CA US","37.8891","-121.2258","7.9","2013-01-15","1.79",,,,"0.00",,,,"52","28","  110","  120",,"8.1","14.1",,,,,,"    1",,,
