"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-02-23",,,,,,,,"40","51","33",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-02-24",,,,,,,,"41","56","31",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-02-25",,,,,,,,"42","56","33",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-02-26",,,,,,,,"41","56","30",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-02-27",,,,,,,,"43","59","31",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-02-28",,,,,,,,"50","57","44",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-03-01",,,,,,,,"51","65","41",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-03-02",,,,,,,,"49","55","45",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-03-03",,,,,,,,"49","63","41",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-03-04",,,,,,,,"42","56","33",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-03-05",,,,,,,,"41","46","34",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-03-06",,,,,,,,"40","44","35",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-03-07",,,,,,,,"42","56","33",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-03-08",,,,,,,,"42","62","31",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-03-09",,,,,,,,"46","66","34",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-03-10",,,,,,,,"49","69","33",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-03-11",,,,,,,,"50","71","35",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-03-12",,,,,,,,"51","69","41",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-03-13",,,,,,,,"51","72","39",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-03-14",,,,,,,,"47","62","39",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-03-15",,,,,,,,"50","73","37",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-03-16",,,,,,,,"48","58","41",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-03-17",,,,,,,,"46","61","35",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-03-18",,,,,,,,"46","66","32",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-03-19",,,,,,,,"47","55","40",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-03-20",,,,,,,,"48","52","39",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-03-21",,,,,,,,"44","61","33",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-03-22",,,,,,,,"42","58","30",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-03-23",,,,,,,,"47","65","36",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-03-24",,,,,,,,"46","66","33",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-03-25",,,,,,,,"44","59","33",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-03-26",,,,,,,,"51","67","37",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-03-27",,,,,,,,"52","62","46",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-03-28",,,,,,,,"53","61","49",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-03-29",,,,,,,,"58","77","46",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-03-30",,,,,,,,"59","77","47",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-03-31",,,,,,,,"54","60","51",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-04-01",,,,,,,,"55","63","48",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-04-02",,,,,,,,"56","73","46",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-04-03",,,,,,,,"56","73","43",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-04-04",,,,,,,,"53","56","50",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-04-05",,,,,,,,"52","54","50",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-04-06",,,,,,,,"53","62","49",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-04-07",,,,,,,,"46","52","35",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-04-08",,,,,,,,"47","62","34",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-04-09",,,,,,,,"54","74","39",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-04-10",,,,,,,,"51","62","39",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-04-11",,,,,,,,"55","71","39",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-04-12",,,,,,,,"55","68","46",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-04-13",,,,,,,,"49","60","35",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-04-14",,,,,,,,"45","58","35",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-04-15",,,,,,,,"42","50","36",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-04-16",,,,,,,,"45","66","32",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-04-17",,,,,,,,"50","70","32",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-04-18",,,,,,,,"54","74","37",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-04-19",,,,,,,,"53","68","42",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-04-20",,,,,,,,"55","74","40",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-04-21",,,,,,,,"58","81","40",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-04-22",,,,,,,,"65","85","43",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-04-23",,,,,,,,"68","85","52",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-04-24",,,,,,,,"65","88","42",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-04-25",,,,,,,,"54","68","41",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-04-26",,,,,,,,"58","75","47",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-04-27",,,,,,,,"58","77","42",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-04-28",,,,,,,,"59","80","40",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-04-29",,,,,,,,"57","74","43",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-04-30",,,,,,,,"58","73","41",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-05-01",,,,,,,,"67","87","49",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-05-02",,,,,,,,"71","91","51",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-05-03",,,,,,,,"76","96","50",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-05-04",,,,,,,,"76","91","59",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-05-05",,,,,,,,"58","71","47",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-05-06",,,,,,,,"57","74","42",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-05-07",,,,,,,,"59","70","52",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-05-08",,,,,,,,"58","72","51",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-05-09",,,,,,,,"59","75","50",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-05-10",,,,,,,,"59","77","50",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-05-11",,,,,,,,"63","84","46",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-05-12",,,,,,,,"62","79","47",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-05-13",,,,,,,,"61","73","50",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-05-14",,,,,,,,"59","74","46",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-05-15",,,,,,,,"57","72","45",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-05-16",,,,,,,,"55","61","48",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-05-17",,,,,,,,"54","63","43",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-05-18",,,,,,,,"53","64","43",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-05-19",,,,,,,,"63","85","41",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-05-20",,,,,,,,"64","83","47",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-05-21",,,,,,,,"48","54","39",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-05-22",,,,,,,,"48","57","39",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-05-23",,,,,,,,"52","67","39",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-05-24",,,,,,,,"52","62","45",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-05-25",,,,,,,,"56","69","41",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-05-26",,,,,,,,"58","70","51",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-05-27",,,,,,,,"55","61","51",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-05-28",,,,,,,,"58","69","51",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-05-29",,,,,,,,"55","63","48",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-05-30",,,,,,,,"56","69","45",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-05-31",,,,,,,,"61","79","41",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-06-01",,,,,,,,"62","84","46",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-06-02",,,,,,,,"69","91","46",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-06-03",,,,,,,,"77","97","60",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-06-04",,,,,,,,"71","95","50",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-06-05",,,,,,,,"66","86","49",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-06-06",,,,,,,,"64","82","50",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-06-07",,,,,,,,"74","99","50",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-06-08",,,,,,,,"86","106","70",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-06-09",,,,,,,,"80","101","56",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-06-10",,,,,,,,"59","73","48",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-06-11",,,,,,,,"59","72","46",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-06-12",,,,,,,,"56","70","43",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-06-13",,,,,,,,"56","72","42",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-06-14",,,,,,,,"65","85","42",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-06-15",,,,,,,,"59","72","47",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-06-16",,,,,,,,"61","75","50",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-06-17",,,,,,,,"59","73","47",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-06-18",,,,,,,,"57","63","50",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-06-19",,,,,,,,"56","65","51",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-06-20",,,,,,,,"58","72","46",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-06-21",,,,,,,,"62","79","45",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-06-22",,,,,,,,"63","81","46",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-06-23",,,,,,,,"60","68","54",,,,,,,,,,,
